X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-77.0606795993429,38.9051961433752,18095363,2018/06/12 17:56:05+00,EVENING,OTHERS,THEFT/OTHER,3036 - 3099 BLOCK OF M STREET NW,394737,137483,2,2E,2,206,Cluster 4,000100 4,000100,Precinct 5,38.9051883564576,-77.0606772965942,GEORGETOWN,2018/06/12 16:40:42+00,2018/06/12 17:56:20+00,440980686,18095363-01
-77.0257466964261,38.969285089678,18095365,2018/06/12 18:11:42+00,EVENING,OTHERS,THEFT F/AUTO,6500  - 6599 BLOCK OF PINEY BRANCH ROAD NW,397769,144596,4,4B,4,402,Cluster 17,001901 4,001901,Precinct 59,38.9692772885443,-77.0257444006317,,2018/06/12 17:00:23+00,2018/06/12 17:09:21+00,440980687,18095365-01
-77.0288575539384,38.9004879590841,18095378,2018/06/12 18:14:56+00,EVENING,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF NEW YORK AVENUE NW,397497,136959,2,2C,2,209,Cluster 8,010100 1,010100,Precinct 129,38.9004801719282,-77.0288552613857,DOWNTOWN,2018/06/12 17:35:32+00,1970/01/01 00:00:00+00,440980688,18095378-01
-76.9931524033396,38.9222194435095,18095391,2018/06/12 19:30:07+00,EVENING,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,400594,139371,5,5C,5,505,Cluster 22,009102 2,009102,Precinct 72,38.9222116506408,-76.9931501205792,,2018/06/12 18:00:20+00,2018/06/12 18:15:15+00,440980689,18095391-01
-77.0175675287383,38.8848786936054,18095392,2018/06/12 18:43:58+00,EVENING,OTHERS,THEFT/OTHER,400 - 403 BLOCK OF 4TH STREET SW,398476,135226,6,6D,1,103,Cluster 9,010200 1,010200,Precinct 142,38.8848709091769,-77.0175652406538,SOUTHWEST,2018/06/10 10:45:19+00,2018/06/10 16:00:29+00,440980690,18095392-01
-77.0260051632361,38.9186494525309,18095394,2018/06/12 19:39:48+00,EVENING,OTHERS,THEFT/OTHER,2100 - 2199 BLOCK OF 10TH STREET NW,397745,138975,1,1B,3,305,Cluster 3,004400 1,004400,Precinct 22,38.9186416616071,-77.0260028704617,,2018/06/12 18:03:14+00,1970/01/01 00:00:00+00,440980691,18095394-01
-77.0270403999045,38.911865940726,18095402,2018/06/12 19:00:27+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1600 - 1699 BLOCK OF 11TH STREET NW,397655,138222,2,2F,3,307,Cluster 7,005001 1,005001,Precinct 16,38.9118581512083,-77.0270381072224,,2018/06/12 17:53:27+00,1970/01/01 00:00:00+00,440980692,18095402-01
-77.0364807637233,38.9289341550701,18095404,2018/06/12 20:42:36+00,EVENING,OTHERS,THEFT/OTHER,3100 - 3116 BLOCK OF 16TH STREET NW,396837,140117,1,1D,3,302,Cluster 2,002702 1,002702,Precinct 39,38.9289263624646,-77.0364784670574,,2018/06/12 17:45:49+00,2018/06/12 19:39:09+00,440980693,18095404-01
-77.031562108375,38.9682747413258,18095405,2018/06/12 20:21:22+00,EVENING,OTHERS,THEFT F/AUTO,1300  - 1399 BLOCK OF TEWKESBURY PLACE NW,397265,144484,4,4A,4,402,Cluster 17,001804 1,001804,Precinct 61,38.9682669406129,-77.0315598108309,,2018/06/11 01:00:03+00,2018/06/11 06:00:16+00,440980694,18095405-01
-76.948403336817,38.8663833821785,18095416,2018/06/13 00:06:34+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3900 - 3919 BLOCK OF R STREET SE,404478,133174,7,7B,6,605,Cluster 34,009902 2,009902,Precinct 110,38.8663755989091,-76.948401071397,,2018/06/12 17:33:35+00,2018/06/12 19:21:08+00,440980695,18095416-01
