X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
-76.9285912597024,38.905370247736,18095701,2018/06/13 09:54:14+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF 50TH STREET NE,406194,137503,7,7C,6,602,Cluster 31,007806 1,007806,Precinct 93,38.9053624558619,-76.9285889980818,,2018/06/07 08:00:13+00,2018/06/09 13:00:35+00,440980741,18095701-01
-76.9733983955688,38.9223697582615,18095703,2018/06/13 09:44:49+00,DAY,OTHERS,THEFT F/AUTO,2200 - 2399 BLOCK OF CHANNING STREET NE,402307,139388,5,5C,5,503,Cluster 22,011100 3,011100,Precinct 72,38.9223619646264,-76.9733961189527,,2018/06/13 09:10:44+00,1970/01/01 00:00:00+00,440980742,18095703-01
-77.0157070151223,38.9151200242589,18095704,2018/06/13 10:32:10+00,DAY,OTHERS,THEFT F/AUTO,1810 1899  BLOCK OF 3RD STREET NW,398638,138583,1,1B,3,306,Cluster 3,003400 2,003400,Precinct 20,38.9151122336624,-77.0157047257708,,2018/06/13 09:20:20+00,2018/06/13 09:25:26+00,440980743,18095704-01
-76.9961432108967,38.8468374207424,18095708,2018/06/13 10:04:47+00,DAY,OTHERS,THEFT/OTHER,2732 - 2899 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400335,131003,8,8C,7,707,,010400 2,010400,Precinct 123,38.8468296431945,-76.9961409317998,,2018/06/12 13:40:11+00,2018/06/12 13:50:03+00,440980744,18095708-01
-76.9529787938532,38.864989009863,18095718,2018/06/13 11:27:21+00,DAY,OTHERS,MOTOR VEHICLE THEFT,3700 - 3791 BLOCK OF ALABAMA AVENUE SE,404081,133019,7,7B,6,606,Cluster 35,007603 1,007603,Precinct 110,38.8649812270451,-76.952976527093,,2018/06/13 08:42:28+00,2018/06/13 10:42:47+00,440980745,18095718-01
-76.9823183001786,38.8524033604401,18095721,2018/06/13 11:06:25+00,DAY,OTHERS,MOTOR VEHICLE THEFT,3033 3097  BLOCK OF STANTON ROAD SE,401535,131621,8,8E,7,704,Cluster 38,007404 3,007404,Precinct 117,38.8523955812541,-76.9823160250475,,2018/06/13 08:45:35+00,2018/06/13 10:35:47+00,440980746,18095721-01
-77.039474926599,38.9210148687953,18095732,2018/06/13 11:13:55+00,DAY,OTHERS,THEFT F/AUTO,1700 - 1719 BLOCK OF KALORAMA ROAD NW,396577,139238,1,1C,3,303,Cluster 1,003800 1,003800,Precinct 24,38.9210070778975,-77.0394726294853,,2018/06/12 22:00:18+00,2018/06/13 10:00:26+00,440980747,18095732-01
-77.0957930437645,38.9451335527677,18095737,2018/06/13 11:25:09+00,DAY,OTHERS,THEFT/OTHER,4800 - 4899 BLOCK OF MASSACHUSETTS AVENUE NW,391696,141919,3,3D,2,202,Cluster 13,000901 3,000901,Precinct 9,38.9451257591166,-77.0957907276363,,2018/06/12 21:30:48+00,2018/06/13 05:35:34+00,440980748,18095737-01
-76.9298345446787,38.8838139677957,18095738,2018/06/13 11:21:49+00,DAY,OTHERS,THEFT/OTHER,5000 - 5099 BLOCK OF D STREET SE,406088,135110,7,7E,6,604,Cluster 33,009904 2,009904,Precinct 104,38.8838061803176,-76.9298322839826,,2018/06/13 07:21:19+00,1970/01/01 00:00:00+00,440980749,18095738-01
-77.1011598829104,38.9471288716467,18095744,2018/06/13 11:17:44+00,DAY,OTHERS,THEFT F/AUTO,5100 - 5139 BLOCK OF YUMA STREET NW,391231,142141,3,3D,2,205,Cluster 13,000901 2,000901,Precinct 9,38.9471210777948,-77.1011575649886,,2018/06/13 09:30:52+00,2018/06/13 10:30:35+00,440980750,18095744-01
-77.0163799998658,38.8832393399867,18095748,2018/06/15 07:51:33+00,DAY,OTHERS,THEFT F/AUTO,300 - 399 BLOCK OF E STREET SW,398579,135044,6,6D,1,103,Cluster 9,010500 2,010500,Precinct 128,38.8832315558446,-77.0163777122511,SOUTHWEST,2018/06/13 10:23:10+00,2018/06/13 11:23:52+00,440980751,18095748-01
-77.0270440892285,38.9215949398356,18095749,2018/06/13 12:56:06+00,DAY,OTHERS,THEFT F/AUTO,2300 - 2499 BLOCK OF 11TH STREET NW,397655,139302,1,1B,3,304,Cluster 2,003600 3,003600,Precinct 23,38.9215871483569,-77.0270417959504,,2018/06/13 10:41:16+00,2018/06/13 12:56:17+00,440980752,18095749-01
-77.0327328490334,38.9295208052423,18095756,2018/06/13 12:01:06+00,DAY,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162,140182,1,1A,3,302,Cluster 2,003000 1,003000,Precinct 39,38.9295130123787,-77.0327305534988,,2018/06/13 11:14:59+00,2018/06/13 11:45:14+00,440980753,18095756-01
-76.9803929289199,38.8996160677594,18095786,2018/06/13 13:58:47+00,DAY,OTHERS,THEFT/OTHER,1516 - 1699 BLOCK OF BENNING ROAD NE,401701,136862,6,6A,5,507,Cluster 23,007901 4,007901,Precinct 81,38.8996082789733,-76.9803906515132,,2018/06/13 11:43:02+00,2018/06/13 12:43:56+00,440980754,18095786-01
-77.0234719766449,38.8947958790758,18095788,2018/06/13 12:50:41+00,DAY,OTHERS,THEFT F/AUTO,800 - 899 BLOCK OF D STREET NW,397964,136327,2,2C,1,102,Cluster 8,005800 1,005800,Precinct 143,38.894788092867,-77.0234696861167,DOWNTOWN,2018/06/12 18:00:59+00,2018/06/12 19:00:08+00,440980755,18095788-01
-76.9411189028797,38.8828292787623,18095793,2018/06/13 13:43:55+00,DAY,OTHERS,THEFT F/AUTO,500 - 511 BLOCK OF HILLTOP TERRACE SE,405109,135000,7,7F,6,605,Cluster 33,009907 2,009907,Precinct 103,38.8828214919023,-76.9411166387285,,2018/06/13 12:39:05+00,2018/06/13 12:45:42+00,440980756,18095793-01
-76.9300587250046,38.8902731132979,18095801,2018/06/13 13:05:51+00,DAY,OTHERS,THEFT F/AUTO,2 - 99 BLOCK OF 50TH STREET NE,406068,135827,7,7C,6,608,Cluster 33,007804 3,007804,Precinct 97,38.8902653245245,-76.9300564638458,,2018/06/12 12:00:03+00,2018/06/12 17:00:15+00,440980757,18095801-01
-76.9739849153955,38.863536215604,18095802,2018/06/13 13:32:16+00,DAY,OTHERS,THEFT/OTHER,2300 - 2399 BLOCK OF GOOD HOPE ROAD SE,402258,132857,8,8B,6,607,Cluster 28,007504 1,007504,Precinct 114,38.8635284338603,-76.9739826421821,,2018/06/13 11:45:49+00,1970/01/01 00:00:00+00,440980758,18095802-01
-77.0675182335894,38.9315777973475,18095804,2018/06/13 13:32:20+00,DAY,OTHERS,THEFT/OTHER,3400 - 3499 BLOCK OF WOODLEY ROAD NW,394146,140412,3,3C,2,204,Cluster 15,000400 1,000400,Precinct 12,38.931570005369,-77.0675159270965,,2018/06/12 16:00:34+00,2018/06/12 19:00:13+00,440980759,18095804-01
-76.9798943456027,38.8689063970014,18095806,2018/06/13 13:39:33+00,DAY,OTHERS,THEFT/OTHER,1700 - 1799 BLOCK OF MINNESOTA AVENUE SE,401745,133453,8,8A,6,607,Cluster 34,007601 4,007601,Precinct 133,38.8688986143934,-76.9798920702223,,2018/06/13 12:30:12+00,2018/06/13 13:31:49+00,440980760,18095806-01
-77.0639999282655,38.9051583382309,18095817,2018/06/13 14:15:02+00,DAY,OTHERS,THEFT/OTHER,3200 - 3275 BLOCK OF M STREET NW,394449,137479,2,2E,2,206,Cluster 4,000202 4,000202,Precinct 6,38.905150551445,-77.0639976244854,GEORGETOWN,2018/06/13 12:35:38+00,2018/06/13 13:25:21+00,440980761,18095817-01
-77.0106000200051,38.9223723045797,18095824,2018/06/13 13:40:30+00,DAY,OTHERS,BURGLARY,1 - 99 BLOCK OF CHANNING STREET NW,399081,139388,5,5E,3,306,Cluster 21,003301 1,003301,Precinct 135,38.9223645123308,-77.010597731801,,2018/06/12 17:00:33+00,2018/06/13 07:30:16+00,440980762,18095824-01
-77.0224410527892,38.9155783500074,18095825,2018/06/13 13:52:13+00,DAY,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF T STREET NW,398054,138634,1,1B,3,305,Cluster 3,004400 2,004400,Precinct 137,38.9155705595697,-77.0224387613126,,2018/06/13 13:33:04+00,1970/01/01 00:00:00+00,440980763,18095825-01
-77.0183533670414,38.9377935718271,18095832,2018/06/13 14:03:53+00,DAY,OTHERS,THEFT/OTHER,400  - 499 BLOCK OF QUINCY STREET NW,398409,141100,4,4C,4,407,Cluster 18,002301 1,002301,Precinct 49,38.9377857767597,-77.0183510754792,,2012/09/24 12:00:22+00,2018/06/12 12:00:39+00,440980764,18095832-01
-77.0521670616558,38.8995790392608,18095839,2018/06/13 14:08:42+00,DAY,OTHERS,MOTOR VEHICLE THEFT,2400 - 2429 BLOCK OF H STREET NW,395475,136859,2,2A,2,207,Cluster 5,005600 2,005600,Precinct 3,38.8995712531579,-77.0521647619009,,2018/06/13 08:45:36+00,2018/06/13 13:05:19+00,440980765,18095839-01
-77.0625732135346,38.9084471593376,18095848,2018/06/13 14:42:12+00,DAY,OTHERS,THEFT F/AUTO,3100 - 3199 BLOCK OF O STREET NW,394573,137844,2,2E,2,206,Cluster 4,000100 3,000100,Precinct 5,38.9084393718354,-77.0625709099976,,2018/06/13 13:52:30+00,1970/01/01 00:00:00+00,440980766,18095848-01
-77.0587355843593,38.9105300797379,18095849,2018/06/13 14:23:52+00,DAY,OTHERS,THEFT/OTHER,2900 - 2999 BLOCK OF Q STREET NW,394906,138075,2,2E,2,206,Cluster 4,000100 3,000100,Precinct 5,38.9105222916726,-77.0587332818896,,2018/06/13 13:22:19+00,1970/01/01 00:00:00+00,440980767,18095849-01
-77.0455932999302,38.9133465501021,18095873,2018/06/13 19:00:25+00,EVENING,OTHERS,THEFT/OTHER,1700 - 1799 BLOCK OF CONNECTICUT AVENUE NW,396046,138387,2,2B,2,208,Cluster 6,005500 1,005500,Precinct 14,38.9133387609783,-77.0455910013804,DUPONT CIRCLE,2018/06/13 14:00:53+00,2018/06/13 14:06:41+00,440980768,18095873-01
-76.9949771706687,38.8832313725763,18095886,2018/06/13 15:11:03+00,EVENING,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF 8TH STREET SE,400436,135043,6,6B,1,106,Cluster 26,007000 2,007000,Precinct 90,38.8832235876387,-76.994974889719,CAPITOL HILL,2018/06/13 14:30:34+00,2018/06/13 14:40:19+00,440980769,18095886-01
-77.0231717144307,38.9285862276264,18095896,2018/06/13 15:27:58+00,EVENING,OTHERS,THEFT/OTHER,3000 - 3099 BLOCK OF GEORGIA AVENUE NW,397991,140078,1,1A,4,409,Cluster 2,003100 1,003100,Precinct 38,38.9285784345942,-77.0231694219311,,2018/06/13 15:00:16+00,2018/06/13 15:28:43+00,440980770,18095896-01
-76.9984459092653,38.9031219537754,18095899,2018/06/13 17:51:37+00,EVENING,OTHERS,ASSAULT W/DANGEROUS WEAPON,1000 - 1099 BLOCK OF 6TH STREET NE,400135,137251,6,6C,5,501,Cluster 25,010600 2,010600,Precinct 83,38.9031141649546,-76.9984436260222,,2018/06/13 14:00:00+00,1970/01/01 00:00:00+00,440980771,18095899-01
-76.9436020279257,38.8908839985394,18095900,2018/06/13 19:00:09+00,EVENING,OTHERS,THEFT/OTHER,4100 - 4199 BLOCK OF AMES STREET NE,404893,135894,7,7F,6,603,Cluster 32,009603 1,009603,Precinct 102,38.8908762101461,-76.9435997625109,,2018/06/13 04:00:58+00,2018/06/13 15:00:44+00,440980772,18095900-01
-76.9519701299069,38.8913291493743,18095903,2018/06/13 16:16:34+00,EVENING,OTHERS,THEFT/OTHER,3700 - 3761 BLOCK OF MINNESOTA AVENUE NE,404167,135943,7,7F,6,603,Cluster 32,009603 2,009603,Precinct 102,38.8913213612023,-76.9519678618582,,2018/06/13 15:00:22+00,2018/06/13 15:30:55+00,440980773,18095903-01
-77.0279593952426,38.9619788916702,18095909,2018/06/13 15:57:47+00,EVENING,OTHERS,THEFT/OTHER,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,397577,143785,4,4A,4,402,Cluster 17,001804 2,001804,Precinct 60,38.9619710920902,-77.0279570992068,,2018/06/13 15:20:23+00,2018/06/13 15:55:57+00,440980774,18095909-01
-77.024004015155,38.9343423687466,18095916,2018/06/14 13:19:17+00,DAY,OTHERS,THEFT F/AUTO,3553 - 3610 BLOCK OF GEORGIA AVENUE NW,397919,140717,1,1A,4,409,Cluster 2,003100 1,003100,Precinct 43,38.9343345745856,-77.0240017220439,,2018/06/13 15:49:40+00,2018/06/13 16:04:09+00,440980775,18095916-01
-76.9199424069052,38.8866542567745,18095920,2018/06/13 20:12:06+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,117 - 199 BLOCK OF 56TH PLACE SE,406946,135426,7,7E,6,604,Cluster 33,009903 2,009903,Precinct 105,38.8866464683557,-76.9199401491181,,2018/06/13 15:16:05+00,2018/06/13 16:14:40+00,440980776,18095920-01
-76.9357957223468,38.9067076650815,18095943,2018/06/13 16:31:59+00,EVENING,OTHERS,THEFT/OTHER,4600 4700  BLOCK OF MINNESOTA AVENUE NE,405569,137651,7,7C,6,602,Cluster 31,007806 2,007806,Precinct 93,38.9066998732055,-76.9357934584002,,2018/06/12 15:40:47+00,2018/06/12 15:50:27+00,440980777,18095943-01
-76.9258898300162,38.8977655089753,18095946,2018/06/13 17:00:23+00,EVENING,OTHERS,ROBBERY,600 - 699 BLOCK OF DIVISION AVENUE NE,406429,136659,7,7C,6,602,Cluster 31,007804 2,007804,Precinct 97,38.897757718535,-76.9258875697003,,2018/06/12 15:30:02+00,2018/06/12 15:31:58+00,440980778,18095946-01
-76.9931524033396,38.9222194435095,18095962,2018/06/13 17:57:50+00,EVENING,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,400594,139371,5,5C,5,505,Cluster 22,009102 2,009102,Precinct 72,38.9222116506408,-76.9931501205792,,2018/06/13 16:30:23+00,2018/06/13 16:45:00+00,440980779,18095962-01
-77.0013161517915,38.8812766527492,18095963,2018/06/13 21:46:48+00,EVENING,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF G STREET SE,399886,134826,6,6B,1,106,Cluster 26,007000 1,007000,Precinct 90,38.881268868442,-77.0013138689869,,2018/06/13 16:10:14+00,2018/06/13 17:58:11+00,440980780,18095963-01
-77.0388697182705,38.9319601773152,18095971,2018/06/13 23:08:13+00,MIDNIGHT,OTHERS,THEFT/OTHER,3200 - 3299 BLOCK OF 17TH STREET NW,396630,140453,1,1D,3,302,Cluster 2,002702 2,002702,Precinct 40,38.9319523841892,-77.0388674206754,,2018/06/13 17:03:14+00,2018/06/13 17:15:37+00,440980781,18095971-01
-77.0327328490334,38.9295208052423,18095973,2018/06/13 17:51:43+00,EVENING,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162,140182,1,1A,3,302,Cluster 2,003000 1,003000,Precinct 39,38.9295130123787,-77.0327305534988,,2018/06/13 16:30:45+00,1970/01/01 00:00:00+00,440980782,18095973-01
-77.0363478397055,38.9849115512099,18095977,2018/06/13 23:39:52+00,MIDNIGHT,OTHERS,THEFT F/AUTO,7720  - 7799 BLOCK OF 16TH STREET NW,396851,146331,4,4A,4,401,Cluster 16,001600 4,001600,Precinct 62,38.9849037473272,-77.0363455396495,,2018/06/13 07:30:14+00,2018/06/13 16:00:03+00,440980783,18095977-01
-76.9615218856845,38.8559206557625,18095978,2018/06/13 17:40:11+00,EVENING,OTHERS,THEFT F/AUTO,2800 - 2899 BLOCK OF 32ND STREET SE,403340,132012,7,7B,6,606,Cluster 35,007603 4,007603,Precinct 113,38.8559128750932,-76.9615196168151,,2018/06/12 23:00:56+00,2018/06/13 15:00:43+00,440980784,18095978-01
-76.9807777068042,38.8834731254779,18095985,2018/06/13 17:24:57+00,EVENING,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF 17TH STREET SE,401668,135070,6,6B,1,107,Cluster 26,006802 2,006802,Precinct 91,38.8834653399629,-76.9807754302616,,2018/06/12 12:40:57+00,2018/06/12 12:52:17+00,440980785,18095985-01
-76.9949741236229,38.92650749643,18095993,2018/06/13 17:44:47+00,EVENING,OTHERS,ROBBERY,2700 - 2999 BLOCK OF 8TH STREET NE,400436,139847,5,5E,5,502,Cluster 21,009201 1,009201,Precinct 74,38.9264997027649,-76.994971840033,,2018/06/13 14:15:11+00,2018/06/13 17:42:57+00,440980786,18095993-01
-76.9762479717585,38.8840848624943,18096005,2018/06/13 20:41:04+00,EVENING,KNIFE,ASSAULT W/DANGEROUS WEAPON,1900 BLOCK OF D STREET SE,402061,135138,7,7F,1,107,Cluster 26,006804 1,006804,Precinct 80,38.8840770766873,-76.9762456965894,,2018/06/13 14:41:07+00,2018/06/13 14:45:32+00,440980787,18096005-01
-76.9418024487882,38.8926127238966,18096031,2018/06/13 19:30:36+00,EVENING,OTHERS,THEFT/OTHER,4200 - 4243 BLOCK OF BENNING ROAD NE,405049,136086,7,7F,6,603,Cluster 32,009603 1,009603,Precinct 102,38.8926049350876,-76.9418001838286,,2018/06/13 17:11:38+00,1970/01/01 00:00:00+00,440980788,18096031-01
-77.0441736941369,38.9111310434505,18096034,2018/06/13 18:23:32+00,EVENING,OTHERS,THEFT/OTHER,1900 - 1999 BLOCK OF Q STREET NW,396169,138141,2,2B,2,208,Cluster 6,004202 1,004202,Precinct 14,38.9111232547203,-77.0441713961645,DUPONT CIRCLE,2018/06/13 10:30:46+00,2018/06/13 18:23:51+00,440980789,18096034-01
-77.0635180034886,38.9077349899162,18096039,2018/06/13 19:16:38+00,EVENING,OTHERS,THEFT/OTHER,1336 - 1398 BLOCK OF WISCONSIN AVENUE NW,394491,137765,2,2E,2,206,Cluster 4,000202 3,000202,Precinct 6,38.9077272025929,-77.063515699701,GEORGETOWN,2018/06/13 18:05:38+00,1970/01/01 00:00:00+00,440980790,18096039-01
-77.0055624788933,38.9462176318559,18096045,2018/06/13 18:53:10+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,4520 - 4599 BLOCK OF FORT TOTTEN DRIVE NE,399518,142035,5,5A,4,405,Cluster 19,009501 1,009501,Precinct 44,38.946209834614,-77.0055601907998,,2018/06/13 17:45:12+00,2018/06/13 18:35:36+00,440980791,18096045-01
-76.9916061237771,38.8328920984853,18096051,2018/06/13 18:46:51+00,EVENING,GUN,ROBBERY,3850 - 3919 BLOCK OF 9TH STREET SE,400729,129455,8,8E,7,706,Cluster 39,009801 1,009801,Precinct 121,38.8328843235853,-76.9916038469403,,2018/06/13 18:33:09+00,1970/01/01 00:00:00+00,440980792,18096051-01
-77.0035529737367,38.9001221268885,18096060,2018/06/14 00:32:28+00,MIDNIGHT,OTHERS,THEFT/OTHER,700 - 899 BLOCK OF 2ND STREET NE,399692,136918,6,6C,1,104,Cluster 25,010600 2,010600,Precinct 83,38.9001143388631,-77.0035506890862,CAPITOL HILL,2018/05/25 15:00:40+00,2018/05/25 21:00:41+00,440980793,18096060-01
-76.9977771661536,38.9056442818725,18096071,2018/06/13 19:11:14+00,EVENING,OTHERS,BURGLARY,600 - 699 BLOCK OF M STREET NE,400193,137531,6,6C,5,501,Cluster 25,010600 1,010600,Precinct 83,38.9056364925182,-76.9977748829648,,2018/06/13 07:55:11+00,2018/06/13 17:00:47+00,440980794,18096071-01
-77.0319552671574,38.9186479767888,18096076,2018/06/13 19:17:13+00,EVENING,OTHERS,THEFT/OTHER,2100 - 2199 BLOCK OF 14TH STREET NW,397229,138975,1,1B,3,305,Cluster 3,004300 1,004300,Precinct 22,38.9186401860874,-77.0319529725301,,2018/06/13 17:45:40+00,2018/06/13 18:45:40+00,440980795,18096076-01
-77.0078080882998,38.9111121083811,18096092,2018/06/13 20:48:19+00,EVENING,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF Q STREET NE,399323,138138,5,5E,5,502,Cluster 21,008701 1,008701,Precinct 75,38.9111043182981,-77.0078058016532,,2018/06/13 19:14:44+00,2018/06/13 19:42:14+00,440980796,18096092-01
-77.0314889828713,38.9072435453216,18096107,2018/06/13 21:04:43+00,EVENING,OTHERS,THEFT/OTHER,1320 - 1399 BLOCK OF N STREET NW,397269,137709,2,2F,3,307,Cluster 7,005002 2,005002,Precinct 17,38.9072357569018,-77.0314866890865,,2018/05/25 12:00:30+00,2018/06/01 23:59:29+00,440980797,18096107-01
-76.9949644078653,38.900770674432,18096131,2018/06/13 20:33:55+00,EVENING,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF 8TH STREET NE,400437,136990,6,6A,1,104,Cluster 25,010600 3,010600,Precinct 83,38.9007628859557,-76.9949621258499,,2018/06/13 20:05:26+00,1970/01/01 00:00:00+00,440980798,18096131-01
-77.0612106305942,38.9060066181472,18096133,2018/06/13 20:52:06+00,EVENING,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF 31ST STREET NW,394691,137573,2,2E,2,206,Cluster 4,000100 4,000100,Precinct 5,38.9059988310861,-77.0612083276307,GEORGETOWN,2018/06/13 19:44:46+00,1970/01/01 00:00:00+00,440980799,18096133-01
-76.9931524033396,38.9222194435095,18096134,2018/06/13 20:30:44+00,EVENING,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,400594,139371,5,5C,5,505,Cluster 22,009102 2,009102,Precinct 72,38.9222116506408,-76.9931501205792,,2018/06/13 20:27:22+00,1970/01/01 00:00:00+00,440980800,18096134-01
-76.9212088645135,38.8983660062662,18096154,2018/06/13 20:56:35+00,EVENING,OTHERS,THEFT/OTHER,5500 - 5599 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,406835,136726,7,7C,6,608,Cluster 31,007807 1,007807,Precinct 95,38.8983582155308,-76.9212066056193,,2018/06/13 20:20:51+00,1970/01/01 00:00:00+00,440980801,18096154-01
-77.025070055322,38.9155778154846,18096164,2018/06/13 21:10:43+00,EVENING,OTHERS,BURGLARY,900 - 999 BLOCK OF T STREET NW,397826,138634,1,1B,3,305,Cluster 3,004400 2,004400,Precinct 137,38.9155700251451,-77.0250677630266,,2018/06/13 20:29:16+00,1970/01/01 00:00:00+00,440980802,18096164-01
-77.0749603408252,38.9126107327672,18096171,2018/06/13 21:28:41+00,EVENING,OTHERS,THEFT/OTHER,3810 - 3899 BLOCK OF RESERVOIR ROAD NW,393499,138307,2,2E,2,206,Cluster 4,000201 1,000201,Precinct 6,38.9126029448886,-77.0749580331768,,2018/06/13 05:30:51+00,2018/06/13 18:45:58+00,440980803,18096171-01
-77.0339134091999,38.9140982161374,18096181,2018/06/13 23:45:10+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1416 - 1499 BLOCK OF S STREET NW,397059,138470,2,2F,3,301,Cluster 7,005201 4,005201,Precinct 16,38.9140904264261,-77.0339111142411,,2018/06/13 20:41:18+00,2018/06/13 22:31:38+00,440980804,18096181-01
-77.0403072516666,38.9042410545609,18096187,2018/06/13 22:21:44+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1129 BLOCK OF CONNECTICUT AVENUE NW,396504,137376,2,2B,2,207,Cluster 6,010700 1,010700,Precinct 17,38.9042332670755,-77.0403049553193,GOLDEN TRIANGLE,2018/06/13 19:30:45+00,2018/06/13 20:30:06+00,440980805,18096187-01
-77.0275671741372,38.9025241596937,18096189,2018/06/13 23:34:08+00,MIDNIGHT,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF K STREET NW,397609,137185,2,2F,2,209,Cluster 8,010100 1,010100,Precinct 129,38.9025163720791,-77.0275648818618,DOWNTOWN,2018/06/11 08:45:45+00,2018/06/13 18:00:37+00,440980806,18096189-01
-77.0327328490334,38.9295208052423,18096192,2018/06/13 22:22:56+00,EVENING,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162,140182,1,1A,3,302,Cluster 2,003000 1,003000,Precinct 39,38.9295130123787,-77.0327305534988,,2018/06/13 20:44:55+00,1970/01/01 00:00:00+00,440980807,18096192-01
-77.0151853260301,38.9019228655355,18096197,2018/06/13 22:18:57+00,EVENING,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF 3RD STREET NW,398683,137118,6,6E,1,101,Cluster 8,004702 1,004702,Precinct 1,38.9019150775804,-77.0151830376471,MOUNT VERNON TRIANGLE CID,2018/06/13 18:30:46+00,2018/06/13 19:57:44+00,440980808,18096197-01
-77.0105619509295,38.8989235913157,18096210,2018/06/13 22:39:49+00,EVENING,OTHERS,THEFT F/AUTO,1 - 79 BLOCK OF G STREET NW,399084,136785,6,6E,1,102,Cluster 8,004702 1,004702,Precinct 1,38.8989158037931,-77.0105596641695,NOMA,2018/06/13 19:00:11+00,2018/06/13 21:00:16+00,440980809,18096210-01
-76.9487273008583,38.8645367996344,18096211,2018/06/13 22:50:23+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,3901 3998  BLOCK OF PENNSYLVANIA AVENUE SE,404450,132969,7,7B,6,605,Cluster 35,007603 1,007603,Precinct 110,38.8645290167499,-76.9487250354497,,2018/06/10 15:00:32+00,2018/06/13 21:00:55+00,440980810,18096211-01
-77.0024246947015,38.9438035187541,18096214,2018/06/13 23:48:43+00,MIDNIGHT,OTHERS,BURGLARY,200 - 299 BLOCK OF HAWAII AVENUE NE,399790,141767,5,5A,4,405,Cluster 19,009501 3,009501,Precinct 44,38.9437957218814,-77.0024224077332,,2018/06/13 21:36:51+00,1970/01/01 00:00:00+00,440980811,18096214-01
-77.0724790164553,38.9330161557217,18096218,2018/06/13 22:43:27+00,EVENING,OTHERS,THEFT F/AUTO,3201 - 3299 BLOCK OF WISCONSIN AVENUE NW,393716,140572,3,3C,2,204,Cluster 14,000701 1,000701,Precinct 28,38.9330083636388,-77.0724767083295,,2018/06/13 00:00:26+00,2018/06/13 07:00:31+00,440980812,18096218-01
-77.0332568611686,38.9155757720696,18096231,2018/06/14 03:30:15+00,MIDNIGHT,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF T STREET NW,397116,138634,2,2B,3,301,Cluster 3,004300 2,004300,Precinct 141,38.915567982036,-77.0332545663238,,2018/06/13 22:37:00+00,2018/06/14 00:00:13+00,440980813,18096231-01
-77.0106102085639,38.9133459559006,18096234,2018/06/14 02:42:10+00,MIDNIGHT,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF RANDOLPH PLACE NW,399080,138386,5,5E,3,308,Cluster 21,003302 2,003302,Precinct 19,38.9133381654717,-77.0106079209081,,2018/06/14 01:48:44+00,2018/06/14 01:49:48+00,440980814,18096234-01
-77.006417718979,38.9639908992094,18096237,2018/06/13 23:31:00+00,MIDNIGHT,OTHERS,THEFT F/AUTO,6000 - 6137 BLOCK OF SLIGO MILL ROAD NE,399444,144008,4,4B,4,406,Cluster 19,009505 2,009505,Precinct 64,38.9639830984196,-77.0064154295307,,2018/06/13 22:35:50+00,1970/01/01 00:00:00+00,440980815,18096237-01
-77.0090531878166,38.9100130006569,18096242,2018/06/13 23:21:51+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1500 - 1519 BLOCK OF NORTH CAPITOL STREET,399215,138016,5,5E,3,308,Cluster 21,010600 2,010600,Precinct 19,38.9100052108419,-77.0090509008493,NOMA,2018/06/13 20:30:06+00,2018/06/13 23:00:13+00,440980816,18096242-01
